brottstyp_id;namn;niva;grupp_id;grupp;sokvag
12950;Utomhus;4;12819;Indelat efter kön (ej mot barn under 15 år t.o.m. 2007);Brott mot brottsbalken, 3-7 kap. Brott mot person, 6 kap. Sexualbrott, Våldtäkt inkl. grov (1, 4 §), Indelat efter kön (ej mot barn under 15 år t.o.m. 2007), Mot pojkar och män (ej mot barn under 15 år t.o.m. 2007), Mot man 18 år eller äldre (1 §) (15 år och äldre t.o.m. 2006), Försök till våldtäkt, Utomhus
13979;Närstående genom parrelation;5;12819;Indelat efter kön (ej mot barn under 15 år t.o.m. 2007);Brott mot brottsbalken, 3-7 kap. Brott mot person, 6 kap. Sexualbrott, Våldtäkt inkl. grov (1, 4 §), Indelat efter kön (ej mot barn under 15 år t.o.m. 2007), Mot pojkar och män (ej mot barn under 15 år t.o.m. 2007), Mot man 18 år eller äldre (1 §) (15 år och äldre t.o.m. 2006), Försök till våldtäkt, Utomhus, Närstående genom parrelation
13987;Närstående genom släktskap/familj;5;12819;Indelat efter kön (ej mot barn under 15 år t.o.m. 2007);Brott mot brottsbalken, 3-7 kap. Brott mot person, 6 kap. Sexualbrott, Våldtäkt inkl. grov (1, 4 §), Indelat efter kön (ej mot barn under 15 år t.o.m. 2007), Mot pojkar och män (ej mot barn under 15 år t.o.m. 2007), Mot man 18 år eller äldre (1 §) (15 år och äldre t.o.m. 2006), Försök till våldtäkt, Utomhus, Närstående genom släktskap/familj
13995;Annan slags relation;5;12819;Indelat efter kön (ej mot barn under 15 år t.o.m. 2007);Brott mot brottsbalken, 3-7 kap. Brott mot person, 6 kap. Sexualbrott, Våldtäkt inkl. grov (1, 4 §), Indelat efter kön (ej mot barn under 15 år t.o.m. 2007), Mot pojkar och män (ej mot barn under 15 år t.o.m. 2007), Mot man 18 år eller äldre (1 §) (15 år och äldre t.o.m. 2006), Försök till våldtäkt, Utomhus, Annan slags relation
14003;Obekanta;5;12819;Indelat efter kön (ej mot barn under 15 år t.o.m. 2007);Brott mot brottsbalken, 3-7 kap. Brott mot person, 6 kap. Sexualbrott, Våldtäkt inkl. grov (1, 4 §), Indelat efter kön (ej mot barn under 15 år t.o.m. 2007), Mot pojkar och män (ej mot barn under 15 år t.o.m. 2007), Mot man 18 år eller äldre (1 §) (15 år och äldre t.o.m. 2006), Försök till våldtäkt, Utomhus, Obekanta
12962;Inomhus;4;12819;Indelat efter kön (ej mot barn under 15 år t.o.m. 2007);Brott mot brottsbalken, 3-7 kap. Brott mot person, 6 kap. Sexualbrott, Våldtäkt inkl. grov (1, 4 §), Indelat efter kön (ej mot barn under 15 år t.o.m. 2007), Mot pojkar och män (ej mot barn under 15 år t.o.m. 2007), Mot man 18 år eller äldre (1 §) (15 år och äldre t.o.m. 2006), Försök till våldtäkt, Inomhus
13980;Närstående genom parrelation;5;12819;Indelat efter kön (ej mot barn under 15 år t.o.m. 2007);Brott mot brottsbalken, 3-7 kap. Brott mot person, 6 kap. Sexualbrott, Våldtäkt inkl. grov (1, 4 §), Indelat efter kön (ej mot barn under 15 år t.o.m. 2007), Mot pojkar och män (ej mot barn under 15 år t.o.m. 2007), Mot man 18 år eller äldre (1 §) (15 år och äldre t.o.m. 2006), Försök till våldtäkt, Inomhus, Närstående genom parrelation
13988;Närstående genom släktskap/familj;5;12819;Indelat efter kön (ej mot barn under 15 år t.o.m. 2007);Brott mot brottsbalken, 3-7 kap. Brott mot person, 6 kap. Sexualbrott, Våldtäkt inkl. grov (1, 4 §), Indelat efter kön (ej mot barn under 15 år t.o.m. 2007), Mot pojkar och män (ej mot barn under 15 år t.o.m. 2007), Mot man 18 år eller äldre (1 §) (15 år och äldre t.o.m. 2006), Försök till våldtäkt, Inomhus, Närstående genom släktskap/familj
13996;Annan slags relation;5;12819;Indelat efter kön (ej mot barn under 15 år t.o.m. 2007);Brott mot brottsbalken, 3-7 kap. Brott mot person, 6 kap. Sexualbrott, Våldtäkt inkl. grov (1, 4 §), Indelat efter kön (ej mot barn under 15 år t.o.m. 2007), Mot pojkar och män (ej mot barn under 15 år t.o.m. 2007), Mot man 18 år eller äldre (1 §) (15 år och äldre t.o.m. 2006), Försök till våldtäkt, Inomhus, Annan slags relation
14004;Obekanta;5;12819;Indelat efter kön (ej mot barn under 15 år t.o.m. 2007);Brott mot brottsbalken, 3-7 kap. Brott mot person, 6 kap. Sexualbrott, Våldtäkt inkl. grov (1, 4 §), Indelat efter kön (ej mot barn under 15 år t.o.m. 2007), Mot pojkar och män (ej mot barn under 15 år t.o.m. 2007), Mot man 18 år eller äldre (1 §) (15 år och äldre t.o.m. 2006), Försök till våldtäkt, Inomhus, Obekanta
5232;Oaktsam våldtäkt (1 a §);0;5232;Oaktsam våldtäkt (1 a §);Brott mot brottsbalken, 3-7 kap. Brott mot person, 6 kap. Sexualbrott, Oaktsam våldtäkt (1 a §)
5232;Oaktsam våldtäkt (1 a §);1;11093;6 kap. Sexualbrott;Brott mot brottsbalken, 3-7 kap. Brott mot person, 6 kap. Sexualbrott, Oaktsam våldtäkt (1 a §)
5233;Mot barn 15-17 år;1;5232;Oaktsam våldtäkt (1 a §);Brott mot brottsbalken, 3-7 kap. Brott mot person, 6 kap. Sexualbrott, Oaktsam våldtäkt (1 a §), Mot barn 15-17 år
5236;Mot flicka 15-17 år;2;5232;Oaktsam våldtäkt (1 a §);Brott mot brottsbalken, 3-7 kap. Brott mot person, 6 kap. Sexualbrott, Oaktsam våldtäkt (1 a §), Mot barn 15-17 år, Mot flicka 15-17 år
5238;Utomhus (t.o.m. 2024);3;5232;Oaktsam våldtäkt (1 a §);Brott mot brottsbalken, 3-7 kap. Brott mot person, 6 kap. Sexualbrott, Oaktsam våldtäkt (1 a §), Mot barn 15-17 år, Mot flicka 15-17 år, Utomhus (t.o.m. 2024)
5242;Inomhus (t.o.m. 2024);3;5232;Oaktsam våldtäkt (1 a §);Brott mot brottsbalken, 3-7 kap. Brott mot person, 6 kap. Sexualbrott, Oaktsam våldtäkt (1 a §), Mot barn 15-17 år, Mot flicka 15-17 år, Inomhus (t.o.m. 2024)
5237;Mot pojke 15-17 år;2;5232;Oaktsam våldtäkt (1 a §);Brott mot brottsbalken, 3-7 kap. Brott mot person, 6 kap. Sexualbrott, Oaktsam våldtäkt (1 a §), Mot barn 15-17 år, Mot pojke 15-17 år
5239;Utomhus (t.o.m. 2024);3;5232;Oaktsam våldtäkt (1 a §);Brott mot brottsbalken, 3-7 kap. Brott mot person, 6 kap. Sexualbrott, Oaktsam våldtäkt (1 a §), Mot barn 15-17 år, Mot pojke 15-17 år, Utomhus (t.o.m. 2024)
5243;Inomhus (t.o.m. 2024);3;5232;Oaktsam våldtäkt (1 a §);Brott mot brottsbalken, 3-7 kap. Brott mot person, 6 kap. Sexualbrott, Oaktsam våldtäkt (1 a §), Mot barn 15-17 år, Mot pojke 15-17 år, Inomhus (t.o.m. 2024)
5234;Mot kvinna 18 år eller äldre;1;5232;Oaktsam våldtäkt (1 a §);Brott mot brottsbalken, 3-7 kap. Brott mot person, 6 kap. Sexualbrott, Oaktsam våldtäkt (1 a §), Mot kvinna 18 år eller äldre
5240;Utomhus;2;5232;Oaktsam våldtäkt (1 a §);Brott mot brottsbalken, 3-7 kap. Brott mot person, 6 kap. Sexualbrott, Oaktsam våldtäkt (1 a §), Mot kvinna 18 år eller äldre , Utomhus
14005;Närstående genom parrelation;3;5232;Oaktsam våldtäkt (1 a §);Brott mot brottsbalken, 3-7 kap. Brott mot person, 6 kap. Sexualbrott, Oaktsam våldtäkt (1 a §), Mot kvinna 18 år eller äldre , Utomhus, Närstående genom parrelation
14009;Närstående genom släktskap/familj;3;5232;Oaktsam våldtäkt (1 a §);Brott mot brottsbalken, 3-7 kap. Brott mot person, 6 kap. Sexualbrott, Oaktsam våldtäkt (1 a §), Mot kvinna 18 år eller äldre , Utomhus, Närstående genom släktskap/familj
14013;Annan slags relation;3;5232;Oaktsam våldtäkt (1 a §);Brott mot brottsbalken, 3-7 kap. Brott mot person, 6 kap. Sexualbrott, Oaktsam våldtäkt (1 a §), Mot kvinna 18 år eller äldre , Utomhus, Annan slags relation
14017;Obekanta;3;5232;Oaktsam våldtäkt (1 a §);Brott mot brottsbalken, 3-7 kap. Brott mot person, 6 kap. Sexualbrott, Oaktsam våldtäkt (1 a §), Mot kvinna 18 år eller äldre , Utomhus, Obekanta
5244;Inomhus;2;5232;Oaktsam våldtäkt (1 a §);Brott mot brottsbalken, 3-7 kap. Brott mot person, 6 kap. Sexualbrott, Oaktsam våldtäkt (1 a §), Mot kvinna 18 år eller äldre , Inomhus
14006;Närstående genom parrelation;3;5232;Oaktsam våldtäkt (1 a §);Brott mot brottsbalken, 3-7 kap. Brott mot person, 6 kap. Sexualbrott, Oaktsam våldtäkt (1 a §), Mot kvinna 18 år eller äldre , Inomhus, Närstående genom parrelation
14010;Närstående genom släktskap/familj;3;5232;Oaktsam våldtäkt (1 a §);Brott mot brottsbalken, 3-7 kap. Brott mot person, 6 kap. Sexualbrott, Oaktsam våldtäkt (1 a §), Mot kvinna 18 år eller äldre , Inomhus, Närstående genom släktskap/familj
14014;Annan slags relation;3;5232;Oaktsam våldtäkt (1 a §);Brott mot brottsbalken, 3-7 kap. Brott mot person, 6 kap. Sexualbrott, Oaktsam våldtäkt (1 a §), Mot kvinna 18 år eller äldre , Inomhus, Annan slags relation
14018;Obekanta;3;5232;Oaktsam våldtäkt (1 a §);Brott mot brottsbalken, 3-7 kap. Brott mot person, 6 kap. Sexualbrott, Oaktsam våldtäkt (1 a §), Mot kvinna 18 år eller äldre , Inomhus, Obekanta
5235;Mot man 18 år eller äldre;1;5232;Oaktsam våldtäkt (1 a §);Brott mot brottsbalken, 3-7 kap. Brott mot person, 6 kap. Sexualbrott, Oaktsam våldtäkt (1 a §), Mot man 18 år eller äldre
5241;Utomhus;2;5232;Oaktsam våldtäkt (1 a §);Brott mot brottsbalken, 3-7 kap. Brott mot person, 6 kap. Sexualbrott, Oaktsam våldtäkt (1 a §), Mot man 18 år eller äldre, Utomhus
14007;Närstående genom parrelation;3;5232;Oaktsam våldtäkt (1 a §);Brott mot brottsbalken, 3-7 kap. Brott mot person, 6 kap. Sexualbrott, Oaktsam våldtäkt (1 a §), Mot man 18 år eller äldre, Utomhus, Närstående genom parrelation
14011;Närstående genom släktskap/familj;3;5232;Oaktsam våldtäkt (1 a §);Brott mot brottsbalken, 3-7 kap. Brott mot person, 6 kap. Sexualbrott, Oaktsam våldtäkt (1 a §), Mot man 18 år eller äldre, Utomhus, Närstående genom släktskap/familj
14015;Annan slags relation;3;5232;Oaktsam våldtäkt (1 a §);Brott mot brottsbalken, 3-7 kap. Brott mot person, 6 kap. Sexualbrott, Oaktsam våldtäkt (1 a §), Mot man 18 år eller äldre, Utomhus, Annan slags relation
14019;Obekanta;3;5232;Oaktsam våldtäkt (1 a §);Brott mot brottsbalken, 3-7 kap. Brott mot person, 6 kap. Sexualbrott, Oaktsam våldtäkt (1 a §), Mot man 18 år eller äldre, Utomhus, Obekanta
