brottskod;benamning;upphord;kodgrupp
0886;Stöld kulturföremål gm inbr kyrka/museum/hemb.gård o.d;;08
0887;Stöld kulturföremål ej inbr kyrka/museum/hemb.gård o.d;;08
0888;Stöld utan inbrott, i kafé, konditori, restaurang, näringsställe;;08
0889;Stöld, (ej inbrott), automatmissbruk (upphörde år 1987);1987;08
0890;Rån, med skjutv, rån mot privatperson (ej fknshindrad), inomhus (upphörde år 2007);2007;08
0891;Stöld ur eller från båt (upphörde år 2010);2010;08
0892;Rån, utan skjutvapen, rån mot funktionsnedsatt utomhus;;08
0893;Rån, utan skjutvapen, rån mot funktionsnedsatt inomhus;;08
0894;Rån och grovt rån, med skjutvapen, annat, utomhus (upphörde år 1999);1999;08
0895;Rån och grovt rån, med skjutvapen, annat, inomhus (upphörde år 1999);1999;08
0896;Rån, med skjutvapen, rån mot funktionsnedsatt utomhus;;08
0897;Rån, med skjutvapen, rån mot funktionsnedsatt inomhus;;08
0898;Rån och grovt rån, med skjutvapen, annat, utomhus (upphörde år 1999);1999;08
0899;Rån och grovt rån, med skjutvapen, annat, inomhus (upphörde år 1999);1999;08
0901;Bedrägeri, datorbedrägeri;;09
0902;Bedrägeri, automatmissbruk;;09
0903;Bedrägeri, mot hotell, restaurang, taxi, buss, tåg, spårvagn etc.;;09
0904;Bedrägeri, med kontokort;;09
0905;Bedrägeri, mot funktionsnedsatt;;09
0906;Bedrägeri, övrigt bedrägeri;;09
0907;Utpressning, ocker (upphörde år 2013);2013;09
0908;Häleri, häleriförseelse (upphörde år 1976);1976;09
0909;Övriga brott mot kap. 9, oredl förfarande/svindleri/ockerpant (upphörde år 2012);2012;09
0911;Bedrägeri/grovt bedrägeri/bedrägl beteende, automatmissbruk  (upphörde år 1987);1987;09
0912;bedrägeri, bedrägligt beteende avseende bluffakturor;;09
0913;Bedrägeri med hjälp av Internet;;09
0914;Mot EU:s finansiella intressen;;09
0915;Övriga brott mot 9 kap. BrB;;09
0916;Subventionsmissbruk (upphörde 2026);2026;09
0921;Bedr./grovt bedr./bedrägl beteende överskr eget checkk. (upphörde år 1998);1998;09
0922;Bedrägeri, annan checkbedrägeri (ej överskridet konto);;09
0923;Bedr/grovt bedr/bedr beteende överskr eget personkonto (upphörde år 1999);1999;09
0924;Bedr/grovt bedr/bedr beteende/annat bedr m personkblankett (upphörde år 1999);1999;09
0925;Bedr/grovt bedr/bedr beteende mot bank (även PK) i övrigt (upphörde år 1999);1999;09
0926;Bedr/grovt bedr/bedr beteende mot postverket (ej PK-bank) (upphörde år 1999);1999;09
0927;Bedrägeri, mot försäkringskassa (upphörde år 2014);2014;09
0928;Bedr/grovt bedr/bedr beteende kontokorts- & kreditkortsbedr (upphörde år 1987);1987;09
0929;Bedrägeri, mot försäkringsbolag (s.k. försäkringsbedrägeri);;09
0930;Häleri - tillfällig, häleriförseelse;;09
0931;Häleri - vanemässig inriktning eller av stor omfattning;;09
0932;Bedrägeri, överskridit eget konto (check- och personkonto);;09
0933;Penninghäleri (upphörde år 2014);2014;09
0934;Penninghäleriförseelse (upphörde år 2014);2014;09
0935;Investeringsbedrägeri;;09
0940;Utpressning;;09
0941;Ocker;;09
0942;Romansbedrägeri, bedrägeri genom social manipulation, internationell anknytning, mot äldre/funktionsnedsatt;;09
0943;Romansbedrägeri, bedrägeri genom social manipulation, ej internationell anknytning, mot äldre/funktionsnedsatt;;09
0944;Romansbedrägeri, bedrägeri genom social manipulation, internationell anknytning, ej mot äldre/funktionsnedsatt;;09
0945;Romansbedrägeri, bedrägeri genom social manipulation, ej internationell anknytning, ej mot äldre/funktionsnedsatt;;09
0946;Investeringsbedrägeri, bedrägeri genom social manipulation, internationell anknytning, mot äldre/funktionsnedsatt;;09
0947;Investeringsbedrägeri, bedrägeri genom social manipulation, ej internationell anknytning, mot äldre/funktionsnedsatt;;09
0948;Investeringsbedrägeri, bedrägeri genom social manipulation, internationell anknytning, ej mot äldre/funktionsnedsatt;;09
0949;Investeringsbedrägeri, bedrägeri genom social manipulation, ej internationell anknytning, ej mot äldre/funktionsnedsatt;;09
0950;Befogenhetsbedrägeri, bedrägeri genom social manipulation, internationell anknytning, mot äldre/funktionsnedsatt;;09
0951;Befogenhetsbedrägeri, bedrägeri genom social manipulation, ej internationell anknytning, mot äldre/funktionsnedsatt;;09
0952;Befogenhetsbedrägeri, bedrägeri genom social manipulation, internationell anknytning, ej mot äldre/funktionsnedsatt;;09
0953;Befogenhetsbedrägeri, bedrägeri genom social manipulation,  ej internationell anknytning, ej mot äldre/funktionsnedsatt;;09
0954;Bedrägeri genom social manipulation, av annan typ, internationell, mot äldre/funktionsnedsatt;;09
0955;Bedrägeri genom social manipulation, av annan typ, ej internationell anknytning, mot äldre/funktionsnedsatt;;09
0956;Bedrägeri genom social manipulation, av annan typ, internationell anknytning, ej mot äldre/funktionsnedsatt;;09
0957;Bedrägeri genom social manipulation, av annan typ, ej internationell anknytning, ej mot äldre/funktionsnedsatt;;09
0958;Identitetsbedrägeri, köp, internationell anknytning, mot äldre/funktionsnedsatt;;09
0959;Identitetsbedrägeri, köp, ej internationell anknytning, mot äldre/funktionsnedsatt;;09
0960;Identitetsbedrägeri, köp, internationell anknytning, ej mot äldre/funktionsnedsatt;;09
0961;Identitetsbedrägeri, köp, ej internationell anknytning, ej mot äldre/funktionsnedsatt;;09
0962;Identitetsbedrägeri, lån, internationell anknytning, mot äldre/funktionsnedsattt;;09
0963;Identitetsbedrägeri, lån, ej internationell anknytning, mot äldre/funktionsnedsatt;;09
0964;Identitetsbedrägeri, lån, internationell anknytning, ej mot äldre/funktionsnedsatt;;09
0965;Identitetsbedrägeri, lån, ej internationell anknytning, ej mot äldre/funktionsnedsatt;;09
0966;Identitetsbedrägeri, av annan typ, internationell anknytning, mot äldre/funktionsnedsatt;;09
0967;Identitetsbedrägeri, av annan typ, ej internationell anknytning, mot äldre/funktionsnedsatt;;09
0968;Identitetsbedrägeri, av annan typ, internationell anknytning, ej mot äldre/funktionsnedsatt;;09
0969;Identitetsbedrägeri, av annan typ, ej internationell anknytning, ej mot äldre/funktionsnedsatt;;09
0970;Fakturabedrägeri, med kontakt, internationell anknytning, mot äldre/funktionsnedsatt;;09
0971;Fakturabedrägeri, med kontakt, ej internationell anknytning, mot äldre/funktionsnedsatt;;09
0972;Fakturabedrägeri, med kontakt, internationell anknytning, ej mot äldre/funktionsnedsatt;;09
0973;Fakturabedrägeri, med kontakt, ej internationell anknytning, ej mot äldre/funktionsnedsatt;;09
0974;Fakturabedrägeri, utan kontakt, internationell anknytning, mot äldre/funktionsnedsatt;;09
0975;Fakturabedrägeri, utan kontakt, ej internationell anknytning, mot äldre/funktionsnedsatt;;09
0976;Fakturabedrägeri, utan kontakt, internationell anknytning, ej mot äldre/funktionsnedsatt;;09
0977;Fakturabedrägeri, utan kontakt, ej internationell anknytning, ej mot äldre/funktionsnedsatt;;09
0978;Kortbedrägeri, med fysiskt kort, internationell anknytning, mot äldre/funktionsnedsatt;;09
0979;Kortbedrägeri, med fysiskt kort, ej internationell anknytning, mot äldre/funktionsnedsatt;;09
0980;Kortbedrägeri, med fysiskt kort, internationell anknytning, ej mot äldre/funktionsnedsatt;;09
0981;Kortbedrägeri, med fysiskt kort, ej internationell anknytning, ej mot äldre/funktionsnedsatt;;09
0982;Kortbedrägeri, utan fysiskt kort, internationell anknytning;;09
0983;Kortbedrägeri, utan fysiskt kort, ej internationell anknytning;;09
0984;Annonsbedrägeri, internationell anknytning, mot äldre/funktionsnedsatt;;09
0985;Annonsbedrägeri, ej internationell anknytning, mot äldre/funktionsnedsatt;;09
0986;Annonsbedrägeri, internationell anknytning, ej mot äldre/funktionsnedsatt;;09
0987;Annonsbedrägeri, ej internationell anknytning, ej mot äldre/funktionsnedsatt;;09
0988;Försäkringsbedrägeri;;09
0989;Snyltningsbrott;;09
0990;Grovt fordringsbedrägeri, internationell anknytning;;09
0991;Grovt fordringsbedrägeri, ej internationell anknytning;;09
0992;Övrigt bedrägeri, internationell anknytning, mot äldre/funktionsnedsatt;;09
0993;Övrigt bedrägeri, ej internationell anknytning, mot äldre/funktionsnedsatt;;09
0994;Övrigt bedrägeri, internationell anknytning, ej mot äldre/funktionsnedsatt;;09
0995;Övrigt bedrägeri, ej internationell anknytning, ej mot äldre/funktionsnedsatt;;09
0996;Olovlig befattning med betalningsverktyg;;09
0997;Lönegarantibedrägeri;;09
0998;Bedrägeri mot EU:s finansiella intressen;;09
0999;Utförselhäleri inkl. grovt;;09
1001;Förskingring, grov förskingring, undandräkt;;10 - 19
1002;Olovligt förfogande, över avbetalningsgods;;10 - 19
1003;Annat olovligt förfogande;;10 - 19
1004;Fyndförseelse;;10 - 19
1005;Brott mot kap 10 utom kod 1001-1004 (upphörde år 1987);1987;10 - 19
1006;Trolöshet mot huvudman, datorteknik (upphörde år 1999);1999;10 - 19
1007;Trolöshet mot huvudman;;10 - 19
1008;Olovligt brukande, datortidsstöld (upphörde år 1999);1999;10 - 19
1009;Olovligt brukande;;10 - 19
1010;Behörighetsmissbruk;;10 - 19
1011;Handel med inflytande och/eller vårdslös finansiering av mutbrott;;10 - 19
1012;Tagande av muta inkl. grovt, ej till utländska tjänstemän i affärsförhållanden;;10 - 19
1013;Tagande av muta inkl. grovt, till utländska tjänstemän i affärsförhållanden;;10 - 19
1014;Givande av muta inkl. grovt, ej till utländska tjänstemän i affärsförhållanden;;10 - 19
1015;Givande av muta inkl. grovt, till utländska tjänstemän i affärsförhållanden;;10 - 19
1101;Brott mot borgenär m.m. (upphörde år 1999);1999;10 - 19
1111;Oredlighet mot borgenärer, grov oredlighet mot borgenärer;;10 - 19
1112;Vårdslöshet mot borgenärer;;10 - 19
1113;Mannamån mot borgenärer;;10 - 19
1114;Bokföringsbrott (upphörde år 2014);2014;10 - 19
1115;Försvårande av konkurs eller exekutiv förrättning;;10 - 19
1120;Ringa bokföringsbrott, konkurs (upphörde år 2024);2024;10 - 19
1121;Bokföringsbrott av normalgraden, konkurs (upphörde år 2024);2024;10 - 19
1122;Grovt bokföringsbrott, konkurs;;10 - 19
1123;Ringa bokföringsbrott, ej konkurs (upphörde år 2024);2024;10 - 19
1124;Bokföringsbrott av normalgraden, ej konkurs (upphörde år 2024);2024;10 - 19
1125;Grovt bokföringsbrott, ej konkurs;;10 - 19
1126;Bokföringsbrott, ringa, konkurs, försenad eller avsaknad av årsredovisning;;10 - 19
1127;Bokföringsbrott, ringa, konkurs, övriga brott;;10 - 19
1128;Bokföringsbrott, ringa, ej konkurs, försenad eller avsaknad av årsredovisning;;10 - 19
1129;Bokföringsbrott, ringa, ej konkurs, övriga brott;;10 - 19
1130;Bokföringsbrott, av normalgraden, konkurs, försenad eller avsaknad av årsredovisning;;10 - 19
1131;Bokföringsbrott, av normalgraden, konkurs, övriga brott;;10 - 19
1132;Bokföringsbrott, av normalgraden, ej konkurs, försenad eller avsaknad av årsredovisning;;10 - 19
1133;Bokföringsbrott, av normalgraden, ej konkurs, övriga brott;;10 - 19
1201;Skadegörelse, på motorfordon;;10 - 19
1202;Skadegörelse, genom brand, även på motorfordon (upphörde år 2016);2016;10 - 19
1203;Annan skadegörelse (ej klotter);;10 - 19
1204;Tagande av olovlig väg;;10 - 19
1205;Skadegörelse, mot stat, kommun, landsting (ej klotter);;10 - 19
1206;Skadegörelse, datasabotage;;10 - 19
1207;Klotter (upphörde år 2005);2005;10 - 19
1208;klotter mot kollektivtrafik;;10 - 19
1209;klotter övrigt;;10 - 19
1210;Skadegörelse, genom brand (ej på motorfordon);;10 - 19
1211;Skadegörelse, bilbrand eller brand på annat motorfordon (ej mordbrand, 1301);;10 - 19
1212;Annan skadegörelse (ej klotter);;10 - 19
1301;Mordbrand, grov mordbrand;;10 - 19
1302;Allm vårdslöshet, våll av brand som ej redov som mordbr m.m.;;10 - 19
1303;Annan allmänfarlig vårdslöshet;;10 - 19
1304;Övr brott mot kap. 13, allmfarl ödeläg, sabotage, kapning (upphörde år 2018);2018;10 - 19
1305;Miljöbrott (8a §) (upphörde år 2000);2000;10 - 19
1306;Sprida gift/smitta, förgöring, vårdslös med gift/smitta (§§ 7-9) (upphörde år 2000);2000;10 - 19
1307;Sprida gift/smitta, förgöring, vårdslös med gift/smitta (§§ 7-9);;10 - 19
1308;Allmänfarlig ödeläggelse, genom sprängning;;10 - 19
1309;Allmänfarlig ödeläggelse, ej genom sprängning;;10 - 19
1310;Övriga brott mot 13 kap., sabotage inkl. grovt, kapning, sjö- eller luftfartssabotage, flygplatssabotage, underlåtenhet att;;10 - 19
1311;Sabotage mot blåljusverksamhet inkl. grovt;;10 - 19
1312;Allmänfarlig ödeläggelse genom sprängning inkl. grovt, fullbordat;;10 - 19
1313;Allmänfarlig ödeläggelse genom sprängning inkl. grovt, förberedelse, försök, stämpling m.m.;;10 - 19
1314;Spridande av gift eller smitta inkl. grovt;;10 - 19
1315;Förgöring inkl. grovt;;10 - 19
1316;Vårdslöshet med gift eller smittämne;;10 - 19
1401;Förfalskningsbrott, check;;10 - 19
1402;Förfalskningsbrott, svenskt körkort;;10 - 19
1403;Urkförfalskn/grov urkförfalskn/undertr urk Ej samb bedräg sv pass (upphörde år 2001);2001;10 - 19
1404;Förfalskningsbrott, tjänste- eller identitetskort;;10 - 19
1405;Förfalskningsbrott, annan legitimationshandling;;10 - 19
1406;Förfalskningsbrott, övrig urkundsförfalskning;;10 - 19
1407;Signaturförfalskning, brukande av det förfalskade;;10 - 19
1408;Penningförfalsk/olovl befattn  bruk spridn falska pengar;;10 - 19
1409;Övriga brott mot 14 kap. BrB;;10 - 19
1410;Förfalsk handl anv för illegal invandr: sv /utl pass/resedok m.m.;;10 - 19
1501;Mened, osann partsutsaga eller ovarsam utsaga;;10 - 19
1502;Övr brott kap.15, osann/ovarsam utsaga vid nord domstol mm (upphörde år 2009);2009;10 - 19
1503;Missbr urkund avs sv/utl pass/resedok/främlingspass mm;;10 - 19
1504;Brukande av osann urkund, gäller pass;;10 - 19
1505;Falsk och vårdslös beskyllning;;10 - 19
1506;Övriga brott mot 15 kap. BrB, dock inte i samband med bedrägeri;;10 - 19
1601;Övriga brott mot allmän ordning (upphörde år 1990);1990;10 - 19
1602;Falskt larm;;10 - 19
1603;Missbruk av larmordning;;10 - 19
1604;Hets mot folkgrupp;;10 - 19
1605;Olaga diskriminering;;10 - 19
1606;Övriga brott mot kap. 16, upplopp, ohörsamhet mot ordningsmakten m.m. (upphörde år 2012);2012;10 - 19
1607;Barnpornografibrott (upphörde år 2023);2023;10 - 19
1608;Internetrelaterat barnpornografibrott (upphörde år 2023);2023;10 - 19
1609;Djurplågeri;;10 - 19
1610;Övriga brott mot 16 kap (utom 16 §);;10 - 19
1611;Övriga brott mot 16 kap.;;10 - 19
1612;Uppvigling inkl. grovt;;10 - 19
1613;Myteri inkl. grovt;;10 - 19
1614;Gravfridsbrott;;10 - 19
1615;Övriga brott mot 16 kap. BrB;;10 - 19
1616;Barnpornografibrott, inkl. grovt;;10 - 19
1617;Involverande av en underårig i brottslighet;;10 - 19
1701;Våld mot tjänstem, mot polis där våldet beräknas medföra att polisen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn;;10 - 19
1702;Våld mot tjänstem/polis, arbetsoförm under 1 dygn el längre;;10 - 19
1703;Våld mot tjänsteman, mot ordningsvakt;;10 - 19
1704;Våld mot tjänsteman, övriga fall;;10 - 19
1705;Hot eller förgripelse mot tjänsteman;;10 - 19
1706;Våldsamt motstånd;;10 - 19
1707;Övr brott mot kap.17, bestickn/otillbörligt verkande vid röstn mm (upphörde år 2009);2009;10 - 19
1708;Givande av muta (inkl. grov) (upphörde år 2025);2025;10 - 19
1709;Övergrepp i rättssak;;10 - 19
1710;Övriga brott mot 17 kap. BrB (upphörde år 2024);2024;10 - 19
1711;Otillbörligt verkande vid röstning, tagande av otillbörlig förmån vid röstning;;10 - 19
1712;Övriga brott mot 17 kap. BrB;;10 - 19
1713;Förolämpning mot tjänsteman (upphörde år 2025);2025;10 - 19
1714;Förolämpning mot polis;;10 - 19
1715;Förolämpning mot övriga tjänstemän;;10 - 19
1801;Högmålsbrott/uppror/väpn hot mot lagl ordn/olovl kårverks mm (upphörde år 2016);2016;10 - 19
1802;Uppror;;10 - 19
1803;Väpnat hot mot laglig ordning;;10 - 19
1804;Olovlig kårverksamhet;;10 - 19
1805;Brott mot medborgerlig frihet;;10 - 19
1806;Svikande av försvarsplikt;;10 - 19
1901;Brott mot rikets säkerhet, högförräderi, krigsanstiftan m.m. (upphörde år 2016);2016;10 - 19
1902;Spioneri, grovt spioneri;;10 - 19
1903;Vårdslöshet med hemlig uppgift;;10 - 19
1904;Olovlig underrättelseverksamhet mot Sverige;;10 - 19
1905;Olovlig underrättelseverksamhet mot främmande makt;;10 - 19
1906;Olovlig underrättelseverksamhet mot person;;10 - 19
1907;Övriga brott mot Sveriges säkerhet;;10 - 19
1908;Utlandsspioneri, grovt utlandsspioneri;;10 - 19
1909;Röjande av hemlig uppgift i internationellt samarbete;;10 - 19
2001;Tjänstefel m.m. (upphörde år 2009);2009;20 - 51
2002;Tjänstefel inkl. grovt;;20 - 51
2003;Tagande av muta (inkl. grov) (upphörde år 2025);2025;20 - 51
2004;Brott mot tystnadsplikt;;20 - 51
2005;Missbruk av offentlig ställning inkl grovt;;20 - 51
2101;Undanhållande och rymning (upphörde år 1988);1988;20 - 51
2102;BrB kap 21 utom undanhållande och rymning (upphörde år 1988);1988;20 - 51
2201;Annat folkrättsbrott än grovt (upphörde år 2015);2015;20 - 51
2202;Folkrättsbrott, grovt (upphörde år 2015);2015;20 - 51
2203;Folkmord (upphörde år 2015);2015;20 - 51
2204;Brott mot 22 kap. brb;;20 - 51
2205;Lagen om straff för folkmord, brott mot mänskligheten och krigsförbrytelser;;20 - 51
2206;Folkmord;;20 - 51
2207;Brott mot mänskligheten;;20 - 51
2208;Krigsförbrytelse inkl. grov;;20 - 51
2209;Övriga brott mot lag om straff för folkmord, brott mot mänskligheten och krigsförbrytelser;;20 - 51
3001;Grov vårdslöshet i trafik;;20 - 51
3002;Olovlig körning, grov olovlig körning;;20 - 51
3003;Brott mot föreskrift;;20 - 51
3004;Tillåtit olovlig körning etc;;20 - 51
3005;Rattfylleri, inkl. grovt, enbart alkohol eller både alkohol och narkotika;;20 - 51
3006;Smitning(upphörde år 2018);2018;20 - 51
3007;Smitning från trafikolycksplats, med betydande materialskador, personskador eller dödligt utfall;;20 - 51
3008;Smitning från trafikolycksplats, med inga eller lindriga material- och personskador;;20 - 51
3070;Rattfylleri, inkl. grovt, enbart narkotika;;20 - 51
3161;Övriga trafikbrott med fängelse i straffskalan;;20 - 51
3201;Sjöfylleri;;20 - 51
3203;Övriga sjötrafikbrott med fängelse i straffskalan;;20 - 51
4001;Checklagen, ej bedrägerifall (upphörde år 1996);1996;20 - 51
4002;Narkotikasmuggling (varusmugglingslagen 1-3 §) (upphörde år 2003);2003;20 - 51
4003;Varusmuggling/olovlig befattn med smuggelgods, ej narkotika (upphörde år 2003);2003;20 - 51
4004;Brott mot alkohollagen, ej olovlig sprittillverkning  (upphörde år 2000);2000;20 - 51
4005;Skattebrottslagen (upphörde år 1999);1999;20 - 51
4006;Underlåtenhet att inbetala löneavdrag för skatt (upphörde år 1999);1999;20 - 51
4007;Vapenlagen/olaga innehav av pistol/revolver/kulsprutepistol(upphörde år 2018);2018;20 - 51
4008;Vapenlagen, olaga innehav av jaktvapen(upphörde år 2018);2018;20 - 51
4009;Vapenlagen, olaga innehav av annat vapen(upphörde år 2018);2018;20 - 51
4010;Vapenlagen, annat brott mot vapenlagstiftningen(upphörde år 2018);2018;20 - 51
4011;Jaktlagen;;20 - 51
4012;Fiskelagen;;20 - 51
4013;Övr brott enl speciallagstiftningen då fängelse ingår i straffskal;;20 - 51
4015;Naturvårds- eller miljövårdlagsbrott (upphörde år 1985);1985;20 - 51
4016;Arbetsmiljölagen, åsidosättande av föreläggande eller förbud;;20 - 51
4017;Brott mot valutalagen (upphörde år 1992);1992;20 - 51
4018;Brott mot naturvårdslagen (upphörde år 2000);2000;20 - 51
4019;Brott mot miljöskyddslagen (upphörde år 2000);2000;20 - 51
4020;Brott mot utlänningslagen (upphörde år 2001);2001;20 - 51
4021;Brott mot lagen om besöksförbud;;20 - 51
4022;Smuggl dopningsmedel (Varusmuggllagen, 1960:418 1-3 §§) (upphörde år 2002);2002;20 - 51
4023;Brott mot lagen om förbud betr knivar och andra farliga föremål;;20 - 51
4024;Köp av sexuell tjänst (from juni 2006 15 år eller äldre och  from maj 2007 18 år eller äldre);;20 - 51
4025;Människosmuggling;;20 - 51
4026;Organiserande av människosmuggling;;20 - 51
4027;Gömmer flykting, hindrar av- eller utvisning m.m.(upphörde år 2018);2018;20 - 51
4028;Överträdelse av tillträdesförbud vid idrottsarrangemang;;20 - 51
4029;Hindrande av elektronisk övervakning;;20 - 51
4030;Brott mot personuppgiftslagen;;20 - 51
4031;Illegal rovdjursjakt (varg, björn, järv, lodjur kungsörn);;20 - 51
4032;Läkemedelslag;;20 - 51
4033;Lag om handel med läkemedel;;20 - 51
4034;Lag om handel med vissa receptfria läkemedel;;20 - 51
4035;Smuggling, olovlig in- och utförsel av icke narkotikaklassade läkemedel;;20 - 51
4036;Smuggling, olovlig in- och utförsel av övriga varor, ej alkohol, tobak, icke narkotikaklassade läkemedel, vapen eller brandfarliga och explosiva varor;;20 - 51
4037;Grov smuggling, icke narkotikaklassade läkemedel;;20 - 51
4038;Grov smuggling, övriga varor, ej alkohol, tobak, icke narkotikaklassade läkemedel, vapen eller brandfarliga och explosiva varor;;20 - 51
4039;Tullbrott, vårdslös tullredovisning, icke narkotikaklassade läkemedel;;20 - 51
4040;Smugglingsbrott och olovlig in- och utförsel (ej narkotika) (upphörde år 2009);2009;20 - 51
4041;Narkotikasmuggling och olovlig in- och utförsel av narkotika (upphörde år 2009);2009;20 - 51
4042;Tullbrott och vårdslös tullredovisning (upphörde år 2009);2009;20 - 51
4043;Olovlig befattning med smuggelgods (upphörde år 2009);2009;20 - 51
4044;Smuggling ej grov, olovlig införsel/utförsel, ej narkotika (upphörde år 2017);2017;20 - 51
4045;Grov smuggling, ej narkotika (upphörde år 2017);2017;20 - 51
4046;Narkotikasmuggling, ej grov, olovlig införsel/utförsel av narkotika;;20 - 51
4047;Grov narkotikasmuggling (upphörde år 2023);2023;20 - 51
4048;Tullbrott, ej grovt, vårdslös tullredovisning (upphörde år 2017);2017;20 - 51
4049;Grovt tullbrott (upphörde år 2017);2017;20 - 51
4050;Olovlig befattning med smuggelgods, ej grov (upphörde år 2017);2017;20 - 51
4051;Grov olovlig befattning med smuggelgods (upphörde år 2017);2017;20 - 51
4052;Olovlig befattning med punktskattepliktiga varor (upphörde år 2010);2010;20 - 51
4053;Olovlig förflyttning och befattn. m. punktskattepliktiga varor (upphörde år 2017);2017;20 - 51
4054;Synnerligen grov narkotikasmuggling (upphörde år 2023);2023;20 - 51
4055;Smuggling, olovlig in- och utförsel av alkohol- eller tobaksvaror;;20 - 51
4056;Smuggling, olovlig in- och utförsel av vapen eller brandfarliga och explosiva varor;;20 - 51
4057;Smuggling, olovlig in- och utförsel av övriga varor, ej alkohol, tobak, vapen eller brandfarliga och explosiva varor;;20 - 51
4058;Grov smuggling, alkohol- eller tobaksvaror;;20 - 51
4059;Grov smuggling, vapen eller brandfarliga och explosiva varor;;20 - 51
4060;Grov smuggling, övriga varor, ej alkohol, tobak, vapen eller brandfarliga och explosiva varor;;20 - 51
4061;Tullbrott, vårdslös tullredovisning, alhohol- eller tobaksvaror;;20 - 51
4062;Tullbrott, vårdslös tullredovisning, övriga varor, ej akohol- eller tobaksvaror;;20 - 51
4063;Olovlig beffatning med smuggelgods, alkohol- eller tobaksvaror;;20 - 51
4064;Olovlig befattning med smuggelgods, vapen eller brandfarliga och explosiva varor;;20 - 51
4065;Olovlig befattning med smuggelgods, övriga varor, ej alkohol, tobak, vapen eller brandfarliga och explosiva varor;;20 - 51
4066;Olovlig befattning med smuggelgods, narkotika;;20 - 51
4067;Olovlig befattning med punktskattepliktiga varor;;20 - 51
4068;Olovlig förflyttning av punktskattepliktiga varor;;20 - 51
4069;Uppsåtligen uppehåller sig i Sverige trots beslut om utvisning;;20 - 51
4071;Har utlänning anställd som inte har rätt att vistas i Sverige, eller saknar arbetstillstånd;;20 - 51
4072;Övriga brott mot utlänningslagen;;20 - 51
4073;Vapenbrott. innehav av pistol, revolver eller kulsprutepistol (upphörde år 2023);2023;20 - 51
4074;Grovt vapenbrott, synnerligen grovt vapenbrott. innehav av pistol, revolver eller kulsprutepistol (upphörde år 2023);2023;20 - 51
4075;Vapenbrott. innehav av jaktvapen;;20 - 51
4076;Grovt vapenbrott, synnerligen grovt vapenbrott. innehav av jaktvapen;;20 - 51
4077;Vapenbrott. innehav av annat vapen (upphörde år 2023);2023;20 - 51
4078;Grovt vapenbrott, synnerligen grovt vapenbrott. innehav av annat vapen (upphörde år 2023);2023;20 - 51
4079;Vapenbrott. överlåtelse eller utlåning av skjutvapen;;20 - 51
4080;Grovt vapenbrott, synnerligen grovt vapenbrott. överlåtelse eller utlåning av skjutvapen;;20 - 51
4081;Annat brott mot vapenlagen;;20 - 51
4082;Olovlig spelverksamhet inkl. grovt;;20 - 51
4083;Främjande av olovligt spel inkl. grovt;;20 - 51
4084;Spelfusk inkl. grovt;;20 - 51
4085;Överträdelse av kontaktförbud med elektronisk övervakning(upphörde år 2025);2025;20 - 51
4086;Överträdelse av kontaktförbud;;20 - 51
4087;Olovlig befattning med smuggelgods, övriga varor, ej alkohol, tobak, icke narkotikaklassade läkemedel, narkotika, vapen eller brandfarliga och explosiva varor;;20 - 51
4088;Överträdelse av kontaktförbud, mot flicka under 18 år;;20 - 51
4089;Överträdelse av kontaktförbud, mot pojke  under 18 år;;20 - 51
4090;Överträdelse av kontaktförbud, mot kvinna 18 år eller äldre, är eller har varit närstående genom parrelation;;20 - 51
4091;Överträdelse av kontaktförbud, mot kvinna 18 år eller äldre, är eller har varit närstående genom släktskap/familj;;20 - 51
4092;Överträdelse av kontaktförbud, mot kvinna 18 år eller äldre, är eller har varit bekanta genom annan slags relation;;20 - 51
4093;Överträdelse av kontaktförbud, mot kvinna 18 år eller äldre, obekanta;;20 - 51
4094;Överträdelse av kontaktförbud, mot man 18 år eller äldre, är eller har varit närstående genom parrelation;;20 - 51
4095;Överträdelse av kontaktförbud, mot man 18 år eller äldre, är eller har varit närstående genom släktskap/familj;;20 - 51
4096;Överträdelse av kontaktförbud, mot man 18 år eller äldre, är eller har varit bekanta genom annan slags relation;;20 - 51
4097;Överträdelse av kontaktförbud, mot man 18 år eller äldre, obekanta;;20 - 51
4098;Tullbrott, vårdslös tullredovisning, övriga varor, ej alkohol- eller tobaksvaror eller icke narkotikaklassade läkemedel;;20 - 51
4099;Olovlig befattning med smuggelgods, icke narkotikaklassade läkemedel;;20 - 51
4101;Smuggling, olovlig in- och utförsel av hälsofarliga varor;;20 - 51
4102;Grov smuggling av hälsofarliga varor;;20 - 51
4103;Smuggling, olovlig in- och utförsel av dopningsmedel;;20 - 51
4104;Grov smuggling av dopningsmedel;;20 - 51
4105;Smuggling, olovlig in- och utförsel av övriga varor, ej dopningsmedel, alkohol, tobak, icke narkotikaklassade läkemedel eller hälsofarliga varor;;20 - 51
4106;Grov smuggling av övriga varor, ej dopningsmedel, alkohol, tobak,icke narkotikaklassade läkemedel eller hälsofarliga varor;;20 - 51
4107;Vapensmuggling, ej grovt, olovlig in- och utförsel (upphörde år 2023);2023;20 - 51
4108;Vapensmuggling, grovt (upphörde år 2023);2023;20 - 51
4109;Vapensmuggling, synnerligen grovt (upphörde år 2023);2023;20 - 51
